SHALLOW,MUDFLAT,BKWATER,CONN_BW,CONN_TR,N_STRUC,SHAL_LZ,DIST_RZ,X_NUTRI,ALGAE,SEDIMEN,SHOREER,NOCOVES,SHOREHO,SUBSTHO,X_MACRO,N_MACRO,NN_PLNT,NN_ANIM,N_SHADE,N_ALLOC,WS_AGRI,WS_ANIM,WS_LOGS,N_NUTRI,IN_TURB,OR_TURB,VAR_TUR,VAR_DO2,O_STRAT,HI_TEMP,LO_TEMP,T_STRAT,DESTRAT,THERMAL,CONTAMN,POLLNPS,LOWRETE,LOWSTOR,WL_SEAS,WL_LONG,WLSHORT,WL_FAST,DIST_UP,DIST_AD,Latitude,Longitude,Elevation,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,CLUSID,WSA9
0,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,0,0,1,1,2,2,1,1,2,1,2,0,0,1,0,0,1,1,0,0,3,3,3,1,2,2,33.94167,-87.10833,156.1780258,15.91549969,13.39433289,40.14606857,771.5961914,32.4679985,-0.895999968,33.36399841,7.782000065,21.51866722,25.24133301,6.197333336,1459,167,87,19.58302307,440,280,319,416,SAP1,SAP
1,1,1,1,1,4,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,34.455,-87.982,170.2574898,15.38516617,13.32900047,39.53784943,782.7772217,32.09199905,-1.620000005,33.71199799,15.23133278,20.96666718,24.81999969,5.465333462,1477,164,87,20.46168518,447,279,301,413,CPL1,CPL
1,1,1,1,1,2,1,2,1,0,1,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,0,1,1,1,0,4,2,1,1,2,2,1,2,1,2,33.42667,-86.33833,141.066718,16.55016708,13.77500057,41.71208572,748.526123,32.84400177,-0.180000007,33.02400208,8.70933342,21.91466713,25.59466743,7.123333454,1404,167,81,19.41937447,433,272,323,384,SAP1,SAP
2,2,2,2,4,3,4,3,2,2,4,3,3,3,4,4,1,4,4,2,1,3,3,4,4,4,1,3,2,2,3,1,2,2,5,3,3,3,4,3,5,2,3,3,4,31.361,-86.5184,47.49357855,18.3876667,13.68800068,44.66196823,670.9454956,33.19599915,2.547999859,30.64799881,11.31200027,19.08666611,26.35066605,9.917333603,1511,170,75,19.57713699,448,290,414,413,CPL4,CPL
1,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,3,1,1,2,1,2,2,3,3,1,1,2,1,3,2,1,3,1,1,1,2,1,1,1,2,1,1,2,1,32.68,-85.91167,151.8530362,17.49449921,12.64299965,40.9370575,708.0609131,32.61999893,1.736000061,30.88399887,9.859333038,22.73800087,25.95800018,8.498000145,1448,172,72,22.274189,448,274,348,416,SAP1,SAP
3,1,1,1,4,4,3,4,2,1,4,3,1,4,3,3,1,4,2,3,1,3,3,4,3,5,1,4,2,2,3,0,2,2,1,3,4,2,4,2,4,1,3,5,4,31.4032,-86.4796,58.44766962,18.3093338,13.50266647,44.20726395,671.1939087,33.06800079,2.523999929,30.54400063,11.22599983,19.02266693,26.27666664,9.829333305,1492,169,75,19.54478836,445,287,406,409,CPL4,CPL
3,4,3,3,4,2,3,4,3,1,5,4,4,3,4,2,2,3,3,2,2,3,3,3,1,4,4,3,1,1,4,0,1,1,3,2,4,1,2,1,2,1,1,2,4,32.10167,-87.4,24.03977611,18.06716728,13.43433285,42.39564514,709.7753296,33.48400116,1.796000004,31.68800163,10.64733315,23.23066711,26.54133224,9.107333183,1410,167,67,23.46786118,441,253,335,420,CPL4,CPL
3,3,1,1,2,3,3,2,4,3,3,3,2,3,2,2,3,1,2,1,4,3,2,2,1,3,3,2,3,2,4,1,2,1,0,3,3,3,2,1,2,2,2,3,3,34.1721,-85.7539,176.2837789,15.64233303,12.87800026,39.0384407,775.4489746,31.93999863,-1.047999978,32.98799896,11.06333351,21.2033329,24.99199867,5.83133316,1435,167,81,20.53242683,437,276,312,408,SAP3,SAP
0,2,1,1,4,1,1,3,1,0,4,1,2,2,2,2,0,2,1,1,1,1,1,3,0,3,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,32.805,-86.44666,112.7072356,17.28300095,12.82933331,40.78501511,722.6500244,32.69599915,1.24000001,31.45599937,9.688666344,22.50533295,25.9533329,8.118000031,1444,171,76,21.10139847,443,282,339,409,SAP1,SAP
1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,2,1,1,2,3,1,1,2,1,2,1,1,3,1,0,1,2,1,1,2,1,2,2,1,1,33.3,-85.6,223.8365605,16.17866707,13.1206665,41.13577652,728.6155396,31.88399887,-0.012,31.895998,8.427332878,21.4766674,24.95866585,6.957333088,1444,170,83,20.53785515,448,271,329,414,SAP1,SAP
1,1,1,0,0,1,1,0,1,0,1,1,1,3,3,0,3,0,0,1,0,0,0,0,3,0,0,0,1,4,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,34.39667,-87.98833,179.8950695,15.38150024,13.39966679,39.72861481,781.4190063,32.09199905,-1.636000037,33.72800064,15.22200012,20.96133232,24.80599976,5.484666824,1480,164,87,20.61793518,447,279,301,416,CPL1,CPL
2,4,2,2,3,1,2,4,2,1,4,4,4,4,3,1,1,1,2,1,1,4,4,3,1,3,3,4,1,2,1,1,2,1,1,1,4,4,4,1,1,4,4,1,4,32.32333,-86.78333,36.85371652,18.15966606,12.75,41.13434219,712.9906006,33.27199936,2.276000023,30.99599838,10.71333313,23.27933311,26.68133354,9.15333271,1357,166,68,21.85622215,430,265,319,392,CPL4,CPL
1,1,1,1,1,2,1,2,0,0,1,1,2,1,1,3,0,0,0,1,0,1,1,2,4,1,1,2,1,1,0,5,1,0,5,1,1,2,3,2,0,2,2,2,1,32.535,-85.88834,86.99091867,17.98150063,13.09899998,41.71656036,718.9897461,33.15999985,1.75999999,31.39999962,10.38399982,23.15600014,26.55533218,8.854000092,1416,171,70,22.7836647,445,269,339,409,CPL1,CPL
1,1,1,1,1,2,1,2,0,0,1,1,2,1,1,3,0,0,0,1,0,1,1,2,4,1,1,2,1,1,0,5,1,0,5,1,1,2,3,2,0,2,2,2,1,32.5744,-85.8893,101.2185515,17.73233414,12.88933372,41.3968811,713.390686,32.87200165,1.736000061,31.13600159,10.18733311,22.91799927,26.26733398,8.687999725,1434,172,71,22.73396301,449,272,344,415,CPL1,SAP
3,1,1,1,1,1,2,1,2,1,3,3,2,1,1,3,0,3,0,0,0,2,2,2,0,2,2,2,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,2,2,31.14739,-85.36489,73.080447,18.89299965,12.5720005,42.58230591,660.4959717,32.90000153,3.376000166,29.52400208,26.6400013,19.70199966,26.6400013,10.44533348,1364,152,69,20.81207848,399,252,399,383,CPL3,CPL
1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,0,0,1,1,1,1,1,3,1,1,1,3,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,34.27167,-87.695,231.4212457,15.24499989,12.98533344,38.83173752,783.3505249,31.76399994,-1.675999999,33.43999863,15.05000019,20.86999893,24.68600082,5.351333141,1510,168,88,19.40267944,449,290,315,423,SAP1,SAP
3,2,3,3,3,2,3,4,4,2,4,4,4,3,2,3,1,4,3,3,1,4,3,4,1,3,3,3,2,3,4,2,4,3,2,3,4,3,2,2,2,4,3,4,2,31.62667,-85.06333,56.59891851,18.68099976,12.21199989,41.57135391,668.0371704,33.09999847,3.723999977,29.37599945,11.39799976,19.75133324,26.57799911,10.16933346,1340,150,59,24.40229225,419,232,372,392,CPL4,CPL
1,1,1,1,0,4,1,1,1,1,1,1,1,3,3,0,2,0,0,1,1,1,1,1,2,1,1,1,1,3,1,1,3,1,0,0,1,1,1,1,1,1,1,1,1,34.545,-87.975,163.459721,15.32699966,13.22733307,39.16193008,787.4896851,32.0719986,-1.703999996,33.77599716,15.22399998,20.91200066,24.81866646,5.328000069,1466,162,87,19.95928955,442,278,301,405,CPL1,CPL
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,1,1,1,1,1,1,34.79833,-87.38167,155.2224522,15.58116627,12.75566673,38.04481888,792.7751465,32.20399857,-1.324000001,33.52799988,15.26466656,21.31266594,25.12466621,5.526000023,1429,160,84,18.04132652,415,278,308,388,SAP1,SAP
0,0,2,4,1,2,0,3,3,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,2,1,1,0,0,1,1,1,2,3,1,1,1,1,1,1,4,4,33.21,-87.585,36.82462511,17.27383423,13.1716671,39.78393936,770.6500854,33.40000153,0.291999996,33.10800171,9.232000351,22.7393322,26.56200027,7.549333572,1444,161,90,18.22472,433,276,338,402,CPL3,CPL
1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,3,1,1,1,1,1,1,1,1,34.795,-87.625,127.9627812,15.69066715,12.77066708,37.75622559,801.9243164,32.37200165,-1.452000022,33.82400131,15.48866653,21.44133377,25.31866646,5.480000019,1433,158,83,17.84794044,416,278,310,386,SAP1,SAP
2,2,0,0,2,0,2,2,2,1,3,3,2,2,1,2,0,1,1,0,0,2,2,2,0,1,2,2,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,32.52,-87.88,18.53139336,17.57816696,13.40966702,41.43389893,734.3502808,33.31200027,0.948000014,32.36399841,9.915333748,22.84200096,26.39599991,8.324000359,1408,161,83,20.34986496,433,271,319,406,CPL3,CPL
1,1,2,3,3,4,2,4,4,2,4,4,4,4,4,4,1,3,3,3,1,3,3,4,1,4,4,4,2,1,4,0,1,1,3,3,4,2,2,4,1,3,3,4,4,31.75667,-88.12833,5.956361855,18.19350052,13.98033333,43.81450653,699.1002197,33.58399963,1.675999999,31.90799904,10.93133354,23.25266647,26.54133224,9.368666649,1520,173,78,21.05322456,464,281,363,443,CPL4,CPL
1,1,2,2,3,2,1,3,2,1,4,4,4,3,4,0,1,1,2,3,1,4,1,4,0,3,3,3,1,1,4,0,2,1,2,3,4,3,1,4,1,4,5,4,5,31.615,-87.55,11.65786935,18.26049995,13.62433338,43.66773224,688.0979614,33.33200073,2.131999969,31.20000076,11.01933289,18.98133278,26.42866707,9.574000359,1500,175,71,21.44860458,461,276,372,428,CPL4,CPL
2,4,1,1,1,3,4,1,1,1,2,1,2,2,2,1,3,0,1,2,2,1,1,1,2,4,1,4,1,1,2,2,1,1,1,1,1,1,1,2,1,2,3,1,1,35.10167,-93.64333,119.4834795,15.75983334,13.21833324,36.40210724,848.8554688,33.79600143,-2.516000032,36.31200027,15.65200043,4.951333046,25.95466614,4.951333046,1206,140,66,20.18447876,365,250,271,250,SAP1,SAP
1,0,2,2,2,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,35.23336,-92.60009,100.00001,15.87666702,13.20733356,36.48837662,853.8242798,33.74000168,-2.45600009,36.19600296,15.83733368,25.51866722,26.17266655,5.039333344,1247,135,72,19.56923294,378,261,263,279,SAP1,SAP
0,0,0,0,0,5,0,1,0,0,0,1,0,2,1,0,5,0,3,1,1,0,3,1,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,5,0,3,3,2,2,36.36333,-92.57333,192.9522867,14.56116676,13.62033272,36.6571579,863.1148071,33.04800034,-4.107999802,37.15599823,14.24066639,3.607333422,24.97866631,3.607333422,1105,124,58,20.04332161,333,224,255,224,SAP1,SAP
4,2,4,4,5,1,4,0,3,1,2,2,1,1,1,5,0,5,1,2,0,2,1,1,1,1,1,1,1,3,2,1,2,1,0,0,1,1,1,1,1,1,1,1,1,33.93333,-91.7667,54.05780953,16.98566628,12.28066635,36.11536026,811.4150391,33.73199844,-0.272000015,34.0039978,16.92333412,26.04333305,26.67866516,6.592000008,1329,137,79,16.49644279,379,268,280,355,CPL3,CPL
1,1,2,2,0,3,1,4,1,1,2,1,2,3,3,1,2,1,2,2,1,0,1,1,2,1,1,1,1,2,1,0,1,1,1,2,2,1,0,2,1,1,2,1,1,34.43349,-93.01683,140.2578594,16.37899971,13.42333317,37.94903564,817.6049194,33.94400024,-1.427999973,35.37200165,16.2373333,22.24066734,26.25066757,6.027999878,1411,153,85,18.38594055,426,301,316,313,SAP1,SAP
0,3,3,3,2,3,3,3,2,2,4,3,3,2,2,1,3,2,2,1,1,3,2,2,0,2,1,2,2,2,2,1,2,1,1,2,2,1,1,4,1,4,3,3,2,34.41167,-92.10333,64.54992364,16.62249947,11.75500011,34.62240601,819.6107178,33.29199982,-0.660000026,33.95199966,16.69333267,25.7480011,26.45866776,6.128666878,1313,132,82,16.67478943,386,269,275,327,CPL4,CPL
2,2,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,0,1,1,0,1,0,2,3,3,3,3,1,1,1,1,1,1,0,2,1,1,1,1,1,1,2,2,0,34.16684,-92.61675,87.97452548,16.55766678,13.02600002,37.6169548,808.4563599,33.68400192,-0.944000006,34.62800217,16.56200027,22.2373333,26.31200027,6.304666996,1340,138,80,15.85634232,394,286,287,328,CPL3,CPL
3,4,3,4,4,1,3,4,4,4,4,4,3,3,2,3,3,4,1,1,1,4,4,2,0,1,1,3,0,0,2,0,0,0,2,1,4,2,1,2,0,3,2,1,2,35.25,-93.16667,95.04728069,15.83633327,13.55799961,37.15335083,854.5336914,33.90399933,-2.587999821,36.49200058,15.7680006,25.51533318,26.15933228,5.012000084,1202,139,66,20.35743523,370,258,265,258,SAP3,SAP
1,2,4,4,3,3,2,4,3,1,3,3,3,2,2,1,1,1,3,1,1,3,2,2,1,2,2,1,2,2,2,1,2,1,1,3,3,3,3,4,0,4,4,3,3,34.66667,-92.155,66.74024117,16.55850029,12.01633263,34.69719696,839.0656738,33.59999847,-1.032000065,34.63199997,16.54333305,25.89599991,26.65333366,5.873333454,1293,134,80,18.3620472,388,264,268,307,CPL4,CPL
4,2,2,4,3,1,2,2,2,1,5,4,5,4,4,1,3,2,3,1,1,2,2,1,0,2,2,3,0,0,2,0,0,0,1,1,3,2,1,3,0,3,4,1,1,35.125,-92.78667,86.61731531,16.06200027,13.31533337,36.6530838,854.3782959,33.95600128,-2.371999979,36.32800293,16.04999924,25.66666794,26.35200119,5.218666553,1243,142,70,20.91483498,385,258,264,277,SAP3,SAP
1,1,2,2,1,3,1,2,1,1,1,2,1,2,1,2,2,2,1,1,2,0,1,2,3,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,34.22,-93.11,122.00001,16.30800056,13.0953331,37.88720703,806.1937256,33.5039978,-1.060000062,34.56399918,16.08133316,22.14466667,26.04533386,6.130000114,1394,153,84,18.31907845,418,296,306,317,SAP1,SAP
1,0,0,0,0,1,0,0,2,3,2,1,1,1,1,0,3,1,4,1,3,0,2,1,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,34.09833,-94.38167,122.8119225,16.30366707,13.46933365,38.0790863,816.1785889,33.59999847,-1.771999955,35.37199783,15.97200012,6.001999855,26.1313324,6.001999855,1338,167,70,23.09712029,424,279,285,279,SAP1,SAP
1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,4,1,1,2,1,2,1,2,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,34.145,-94.1,155.8830148,16.04216576,13.13633347,37.65287018,813.359436,33.14799881,-1.74000001,34.88800049,15.78466702,5.775333405,25.84133339,5.775333405,1389,161,76,20.77980614,428,296,307,296,SAP1,SAP
1,1,4,4,1,4,1,1,1,1,1,1,2,1,2,1,3,1,1,1,1,0,1,3,4,1,1,1,1,3,0,0,3,1,0,3,1,1,1,1,0,1,1,1,1,34.78355,-92.85,263.2297361,15.62450027,12.90966606,36.80064392,822.1453247,33.00799942,-2.072000027,35.07999802,15.57733345,25.54466629,25.54466629,5.214666843,1368,147,82,18.62796783,420,292,292,307,SAP1,SAP
1,2,3,3,3,3,1,3,2,1,4,4,3,4,3,3,3,3,4,3,1,4,2,1,1,4,3,3,2,2,2,1,2,1,1,2,2,4,1,4,1,4,4,4,3,34.24833,-91.90333,56.63137596,17.13583374,11.64966679,34.31620789,829.3094482,33.76800156,-0.180000007,33.94800186,17.22733307,26.27866745,27.06800079,6.541333199,1317,135,81,16.58740807,383,265,276,341,CPL4,CPL
1,1,4,4,1,4,1,3,1,1,1,2,2,3,2,1,4,1,1,3,1,0,1,2,4,0,1,1,1,3,0,0,3,1,0,2,1,1,1,1,1,1,1,1,1,34.71669,-92.63353,146.7678673,15.97083378,12.93900013,36.84645081,823.7456665,33.31200027,-1.803999901,35.11600113,16.02066612,25.91200066,25.91200066,5.504666805,1338,138,82,18.65511894,407,285,285,300,SAP1,SAP
1,0,3,3,1,3,1,4,1,0,1,1,1,3,2,1,3,1,3,3,2,1,1,1,3,0,0,0,1,1,0,0,1,1,0,2,1,1,0,1,0,0,0,2,2,34.61683,-92.88357,147.9077495,15.99183273,13.33766651,37.63025284,822.0140991,33.56399918,-1.879999995,35.44400024,15.96333313,25.29533195,25.92533302,5.573333263,1400,145,81,18.52518654,426,305,306,308,SAP1,SAP
2,1,3,3,1,2,2,4,1,1,1,1,2,4,4,3,1,1,1,3,2,0,1,1,3,1,1,1,1,1,0,0,2,1,0,2,3,2,1,1,0,1,1,3,1,34.61666,-92.51688,131.4926228,16.48533249,12.85000038,36.53889847,830.8435059,33.76800156,-1.399999976,35.16800308,16.58466721,26.48533249,26.48533249,5.905333519,1345,137,83,18.01446915,404,287,287,306,SAP1,CPL
4,3,0,0,1,1,4,2,2,1,4,2,0,1,4,5,0,3,2,1,1,2,1,2,1,2,1,2,3,2,2,1,1,1,0,3,3,1,1,3,1,1,0,3,3,33.05333,-92.11833,19.97256836,17.32900047,12.92800045,39.09992599,766.5551758,33.52799988,0.464000016,33.06399918,17.298666,22.7266674,26.55733299,7.618666649,1388,143,85,15.97446918,398,275,295,382,CPL3,CPL
1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,2,2,35.1335,-92.43353,91.00001,16.08033371,12.91799927,35.9913063,853.2922974,33.76399994,-2.128000021,35.89199829,16.16600037,25.59933281,26.36199951,5.213999748,1255,130,77,19.22212219,372,257,263,286,SAP1,SAP
1,1,1,0,0,0,1,2,4,3,1,1,1,1,1,0,1,0,0,1,0,1,3,0,0,0,4,0,1,1,1,1,1,1,0,1,3,0,0,0,1,0,0,2,1,36.05023,-91.13342,74.99024519,15.11450005,12.83100033,34.76858902,886.1217651,33.58000183,-3.32400012,36.90400314,15.06799984,25.82133293,25.82133293,3.828666687,1204,126,81,18.92779541,365,244,244,284,SAP4,CPL
1,1,4,4,1,4,1,3,1,1,1,2,2,3,2,1,4,1,1,3,1,0,1,2,4,0,1,1,1,3,0,0,3,1,0,2,1,1,1,1,1,1,1,1,1,34.95015,-92.40008,79.00001,16.21866608,12.57600021,35.80050278,833.8188477,33.54800034,-1.580000043,35.12800217,16.29133224,25.55666733,26.25866699,5.576666832,1272,135,78,19.25654221,379,258,265,292,SAP1,SAP
1,0,0,0,0,1,0,0,2,3,2,1,1,1,1,0,3,1,4,1,3,0,2,1,2,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,34.21,-94.23,180.6434285,16.02816582,13.37766647,37.92715454,814.1453247,33.2840004,-1.988000035,35.27199936,15.74200058,5.742000103,25.84066772,5.742000103,1387,168,73,22.39877892,434,290,300,290,SAP1,SAP
0,0,2,1,1,4,0,1,0,0,2,2,2,1,1,1,1,1,0,0,3,1,1,2,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,34.85006,-92.48339,79.90821461,16.26849937,12.64299965,36.05281067,832.9539795,33.61999893,-1.447999954,35.06800079,16.29066658,25.60733414,26.3093338,5.657333374,1287,135,79,19.05098724,386,265,270,294,SAP1,SAP
1,0,1,1,0,4,1,2,1,0,1,1,0,0,0,0,5,0,0,4,1,1,1,0,1,1,1,1,2,5,1,1,5,1,0,0,1,1,1,2,0,2,2,3,3,35.525,-92,163.1378436,15.36733341,12.92533302,35.84396362,853.992981,33.25600052,-2.803999901,36.06000137,15.16466618,25.67933273,25.67933273,4.524666786,1295,140,76,19.31240082,399,271,271,285,SAP1,SAP
1,0,1,1,1,1,1,1,1,0,1,1,1,2,2,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,2,2,34.98339,-92.76681,86.00001,16.18650055,13.22500038,36.89187622,839.9341431,33.90000153,-1.947999954,35.84799957,16.16666603,25.66266632,26.30800056,5.527999878,1265,142,74,20.44486809,391,261,267,285,SAP1,SAP
2,2,2,2,2,1,2,1,1,1,1,1,0,1,1,0,2,0,0,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,34.70833,-90.695,73.94871115,16.15183258,11.30966663,33.62769699,829.9336548,32.7519989,-0.879999995,33.63199997,16.11600113,21.93599892,26.10666656,5.539999962,1344,142,77,20.94187546,414,255,274,347,CPL1,CPL
1,1,2,2,1,1,1,2,1,1,2,2,1,2,2,2,3,2,1,1,1,0,1,2,2,1,1,1,2,2,1,1,2,2,0,2,2,1,0,1,1,1,0,1,1,34.57333,-93.18833,161.267919,15.81583309,13.60366631,38.19966888,818.5061646,33.56800079,-2.04399991,35.61199951,15.55533314,21.77199936,25.72066689,5.501333237,1412,152,82,18.80669022,428,306,315,307,SAP1,SAP
1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35.36676,-93.18345,132.2071403,15.62633324,13.41800022,36.63717651,857.7160034,33.69200134,-2.931999922,36.62400055,15.51666641,4.720666409,25.95533371,4.720666409,1194,137,65,19.63412857,366,257,263,257,SAP1,SAP
1,1,0,0,1,2,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,1,1,1,0,34.14833,-93.715,161.5374159,15.92116642,13.09566689,37.88378525,808.1057129,32.93600082,-1.631999969,34.56800079,15.69666672,21.86400032,25.66200066,5.737333298,1427,153,82,18.56005287,432,307,323,314,SAP1,SAP
